Title,Genre,Runtime,Rating
Dragon Blade,"Action,Adventure,Drama,History",127,6.1
Killing Kennedy,"Action,Drama,Thriller",87,6.0
Before We Go,"Action,Comedy,Drama,Romance",95,6.8
The Condemned,"Action,Crime,Thriller",105,6.1
Goal! The Dream Begins,"Action,Drama,Romance,Sport",118,6.7
Solace,"Action,Crime,Drama,Mystery,Thriller",101,6.4
Straight Outta Compton,"Action,Biography,Crime,Drama,History",147,7.9
Experimenter,"Action,Biography,Drama,History",98,6.6
Ashby,"Action,Comedy,Drama,Romance",100,6.4
Woodlawn,"Action,Drama,Sport",123,6.5
The Intern,"Action,Comedy,Drama",121,7.1
45 Years,"Action,Drama,Romance",91,7.1
Ship of Theseus,"Action,Drama",140,8.1
Oliver Twist,"Action,Crime,Drama",130,6.9
Burnt,"Action,Comedy,Drama",101,6.6
The Diary of a Teenage Girl,"Action,Drama,Romance",102,6.9
Paper Man,,110,6.6
The Martian,"Action,Adventure,Comedy,Drama,Sci-Fi",144,8.0
Brandon Semenuk's Rad Company,"Action,Adventure,Documentary,Music,Sport",62,6.7
Irrational Man,"Action,Comedy,Crime,Drama,Mystery",95,6.6
Hotel Transylvania 2,"Action,Animation,Comedy,Family,Fantasy",89,6.7
Infinitely Polar Bear,"Action,Comedy,Drama,Romance",90,7.0
Sleeping with Other People,"Action,Comedy,Drama,Romance",101,6.5
Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror",93,6.3
Sicario,"Action,Crime,Drama,Mystery,Thriller",121,7.6
The Walk,"Action,Adventure,Biography,Crime,Drama",123,7.3
The Visit,"Comedy,Horror,Thriller",94,6.2
Being AP,"Action,Documentary,Sport",103,6.3
Everest,"Action,Adventure,Biography,Drama,History",121,7.1
A Walk in the Woods,"Action,Adventure,Biography,Comedy,Drama",104,6.3
Memories of the Sword,"Action,Drama,History",120,6.4
Cracks,"Action,Drama,Thriller",104,6.7
15 Minutes,"Action,Crime,Drama,Thriller",120,6.1
Horns,"Action,Drama,Fantasy,Horror,Thriller",120,6.5
The Life of David Gale,"Action,Crime,Drama,Thriller",130,7.6
Pawn Sacrifice,"Action,Biography,Drama,Sport,Thriller",115,7.0
Heist,"Action,Crime,Thriller",93,6.1
We Are Your Friends,"Action,Drama,Music,Romance",96,6.2
The Caller,"Action,Thriller",92,6.1
Daft Punk Unchained,"Action,Documentary,Music",85,7.3
Spanglish,"Action,Comedy,Drama,Romance",131,6.4
Beasts of No Nation,"Action,Drama,War",137,7.8
Sightseers,"Action,Adventure,Comedy,Crime,Horror",88,6.5
Mr Calzaghe,"Action,Biography,Documentary,Sport",90,8.0
Bone Tomahawk,"Action,Adventure,Drama,Horror,Thriller",132,7.1
War Room,"Action,Drama",120,6.4
Mistress America,"Action,Comedy,Drama",84,6.7
"Good Luck Charlie, It's Christmas!","Action,Comedy,Drama,Family",90,6.6
Free to Play,"Action,Documentary",75,8.0
Lost in the Sun,"Action,Drama,Thriller",95,6.0
Jaco,"Action,Biography,Documentary,Drama,Music",110,7.6
The Invisible,"Action,Crime,Drama,Fantasy,Mystery",102,6.3
Absolutely Anything,"Action,Comedy,Sci-Fi",85,6.0
Jerusalem,"Action,Documentary",45,7.3
Heartbreakers,"Action,Comedy,Crime,Romance",123,6.2
Noble,"Action,Biography,Drama",100,6.7
At Middleton,"Action,Comedy,Romance",99,6.5
The Hours,"Action,Drama,Romance",110,7.6
Love,"Action,Drama,Romance",135,6.0
The Little Prince,"Action,Adventure,Animation,Drama,Family",108,7.8
Amy,"Action,Biography,Documentary,Music",128,7.8
Mississippi Grind,"Action,Comedy,Drama",108,6.4
Best of Enemies: Buckley vs. Vidal,"Action,Documentary,History,News",87,7.6
Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",131,6.3
Ant-Man,"Action,Adventure,Comedy,Sci-Fi",117,7.3
The Stanford Prison Experiment,"Action,Biography,Drama,History,Thriller",122,6.9
Steve Jobs: The Man in the Machine,"Action,Documentary",128,6.9
Ted 2,"Action,Adventure,Comedy,Romance",115,6.3
Youth,"Action,Comedy,Drama,Music,Romance",124,7.3
Assassination,"Action,Drama,History,Thriller",140,7.3
Moondance Alexander,"Action,Drama,Family",105,6.4
Listen to Me Marlon,"Action,Biography,Documentary",103,8.2
Meru,"Action,Adventure,Documentary,Sport",90,7.7
Ronaldo,"Action,Biography,Documentary,Sport",102,6.4
American Ultra,"Action,Comedy,Sci-Fi,Thriller",105,6.1
Tangerine,"Action,Comedy,Crime,Drama",88,7.1
The End of the Tour,"Action,Biography,Drama",106,7.3
Mr. Holmes,"Action,Drama,Mystery",104,6.9
Trainwreck,"Action,Comedy,Drama,Romance",125,6.2
No Escape,"Action,Thriller",103,6.8
The Gift,"Action,Drama,Mystery,Thriller",108,7.1
Minions,"Action,Adventure,Animation,Comedy,Family",91,6.4
Vacation,"Action,Adventure,Comedy,Family",99,6.1
The Man from U.N.C.L.E.,"Action,Adventure,Comedy",116,7.3
Self/less,"Action,Drama,Mystery,Sci-Fi,Thriller",117,6.5
Some Dogs Bite,"Action,Drama",85,6.2
The Grand Seduction,"Action,Comedy",113,7.0
Flowers in the Attic,"Action,Drama,Horror,Mystery,Thriller",86,6.1
Paradise Found 2015,"Action,Biography",26,6.7
The Final Girls,"Action,Comedy,Horror",88,6.6
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",141,7.4
Entourage,"Action,Comedy",104,6.6
Cop Car,"Action,Crime,Thriller",88,6.3
Tomorrowland,"Action,Adventure,Family,Fantasy,Mystery",130,6.5
Me and Earl and the Dying Girl,"Action,Comedy,Drama",105,7.8
Rhymes for Young Ghouls,"Action,Crime,Drama",88,6.5
Jurassic World,"Action,Adventure,Sci-Fi,Thriller",124,7.0
San Andreas,"Action,Adventure,Drama,Thriller",114,6.1
Terminator Genisys,"Action,Adventure,Sci-Fi,Thriller",126,6.5
Mr Blue Sky: The Story of Jeff Lynne & ELO,"Action,Documentary,Music",60,7.5
Southpaw,"Action,Drama,Sport,Thriller",124,7.4
The Search for Freedom,"Action,Documentary",92,6.9
Ice Age,"Action,Adventure,Animation,Comedy,Family",81,7.5
Child 44,"Action,Crime,Drama,Thriller",137,6.5
Little Boy,"Action,Comedy,Drama,History,War",106,7.4
Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",131,7.4
Z for Zachariah,"Action,Drama,Sci-Fi,Thriller",98,6.0
Matchstick Men,"Action,Comedy,Crime,Drama,Thriller",116,7.3
Lifted,"Action,Drama",108,6.7
Sherrybaby,"Action,Drama",105,6.6
Rush Hour 2,"Action,Comedy,Crime,Mystery,Thriller",90,6.6
Inside Out,"Action,Adventure,Animation,Comedy,Drama",95,8.2
Kites,"Action,Drama,Romance,Thriller",123,6.1
Zulu,"Action,Crime,Drama,Thriller",110,6.7
Zombieland,"Action,Adventure,Comedy,Horror,Sci-Fi",88,7.7
Zodiac,"Action,Crime,Drama,History,Mystery",157,7.7
Zero Dark Thirty,"Action,Drama,History,Thriller",157,7.4
Zathura: A Space Adventure,"Action,Adventure,Comedy,Family,Fantasy",101,6.2
Zack and Miri Make a Porno,"Action,Comedy,Romance",101,6.6
Youth Without Youth,"Action,Comedy,Drama,Fantasy,History",124,6.3
You're Not You,"Action,Drama",102,7.4
You're Next,"Action,Horror,Thriller",95,6.5
Your Sister's Sister,"Action,Comedy,Drama",90,6.7
Young Adult,"Action,Comedy,Drama,Romance",94,6.3
Young Adam,"Action,Crime,Drama",98,6.5
Yes Man,"Action,Comedy,Romance",104,6.8
X-Men 2,"Action,Adventure,Fantasy,Sci-Fi,Thriller",134,7.5
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",104,6.7
X-Men Origins: Wolverine,"Action,Adventure,Fantasy,Sci-Fi,Thriller",107,6.6
X-Men: First Class,"Action,Adventure,Sci-Fi",131,7.8
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",132,8.0
X-Men,"Action,Adventure,Sci-Fi",104,7.4
Wyrmwood: Road of the Dead,"Action,Comedy,Horror",98,6.3
Wrong Turn,"Action,Horror,Thriller",84,6.1
Wrong Cops,"Action,Comedy,Crime",83,6.0
Wrong,"Action,Comedy,Mystery",94,6.3
Wreck-It Ralph,"Action,Adventure,Animation,Comedy,Family",101,7.7
World's Greatest Dad,"Action,Comedy,Drama",99,6.9
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",116,7.0
World Trade Center,"Action,Drama,History,Thriller",129,6.0
Words and Pictures,"Action,Comedy,Drama,Romance",111,6.6
Womb,"Action,Drama,Romance,Sci-Fi",111,6.4
Woman in Gold,"Action,Biography,Drama,History",109,7.3
Wolf Creek,"Action,Horror,Thriller",99,6.3
Wolf Creek 2,"Action,Horror,Thriller",106,6.1
Wish I Was Here,"Action,Comedy,Drama",106,6.7
Winter's Tale,"Action,Drama,Fantasy,Mystery,Romance",118,6.2
Winter's Bone,"Action,Drama",100,7.2
Winnie the Pooh,"Action,Adventure,Animation,Comedy,Family",105,7.2
Windtalkers,"Action,Drama,History,War",134,6.0
Win Win,"Action,Comedy,Drama,Sport",106,7.2
Wimbledon,"Action,Comedy,Romance,Sport",98,6.3
Wild Child,"Action,Comedy,Drama,Romance",98,6.1
Wild,"Action,Adventure,Biography,Drama,History",115,7.1
Whitey: United States of America v. James J. Bulger,"Action,Biography,Crime,Documentary",107,6.8
White House Down,"Action,Drama,Thriller",131,6.4
White Bird in a Blizzard,"Action,Drama,Mystery,Thriller",91,6.4
While We're Young,"Action,Comedy,Drama,Mystery",97,6.3
Where the Wild Things Are,"Action,Adventure,Drama,Family,Fantasy",101,6.8
When the Game Stands Tall,"Action,Drama,Family,Sport",115,6.7
What's Your Number?,"Action,Comedy,Romance",106,6.1
What Women Want,"Action,Comedy,Fantasy,Romance",127,6.4
What We Do in the Shadows,"Action,Comedy,Fantasy,Horror",86,7.6
What We Did on Our Holiday,"Comedy,Drama",95,6.9
What Richard Did,"Action,Drama",88,6.3
What Maisie Knew,"Action,Drama",93,7.5
What If,"Action,Comedy,Romance",98,6.8
What Happens in Vegas,"Action,Comedy,Romance",99,6.1
Whale Rider,"Action,Drama,Family",101,7.6
Wet Hot American Summer,"Action,Comedy,Romance",97,6.7
We're the Millers,"Action,Adventure,Comedy,Crime",110,7.0
Wendy and Lucy,"Action,Drama",80,7.1
Welcome to the Punch,"Action,Crime,Thriller",99,6.1
Weekend,"Action,Drama,Romance",97,7.7
Wedding Crashers,"Action,Comedy,Romance",119,7.0
We Were Soldiers,"Action,Drama,History,War",138,7.2
We Still Kill the Old Way,"Action,Comedy,Crime,Drama,Horror",94,6.0
We Own the Night,"Action,Crime,Drama,Thriller",117,6.9
We Need to Talk About Kevin,"Action,Crime,Drama,Mystery,Thriller",112,7.5
We Bought a Zoo,"Action,Comedy,Drama,Family",124,7.1
We Are Marshall,"Action,Drama,Sport",131,7.1
Water for Elephants,"Action,Drama,Romance",105,6.9
Watchmen,"Action,Adventure,Drama,Mystery,Sci-Fi",162,7.6
Wasted on the Young,"Action,Drama,Thriller",105,6.0
Warrior,"Action,Drama,Sport",140,8.2
Warm Bodies,"Action,Comedy,Horror,Romance",98,6.9
War of the Worlds,"Action,Adventure,Sci-Fi,Thriller",116,6.5
War Horse,"Action,Drama,War",146,7.2
War,"Action,Crime,Thriller",103,6.3
Wanted,"Action,Crime,Fantasy,Thriller",110,6.7
WALL·E,"Action,Adventure,Animation,Family,Sci-Fi",98,8.4
Wall Street: Money Never Sleeps,"Action,Drama",133,6.2
Walking Tall,"Action,Crime",86,6.2
Walk of Shame,"Action,Comedy",95,6.0
Waiting...,"Action,Comedy",94,6.8
Violet & Daisy,"Action,Comedy,Crime,Drama,Thriller",88,6.1
V/H/S/2,"Action,Horror,Thriller",96,6.1
Very Good Girls,"Action,Drama,Romance",91,6.0
Veronica Mars,"Action,Crime,Drama,Mystery,Thriller",107,6.8
Vantage Point,"Action,Crime,Drama,Mystery,Thriller",90,6.6
Vanilla Sky,"Action,Fantasy,Mystery,Romance,Sci-Fi",136,6.9
Van Wilder: Party Liaison,"Comedy,Romance",92,6.4
Van Helsing,"Action,Adventure,Fantasy,Mystery,Thriller",131,6.1
Valkyrie,"Action,Drama,History,Thriller,War",121,7.1
Valhalla Rising,"Action,Adventure,Drama,Fantasy,History",93,6.0
Vacancy,"Action,Crime,Horror,Mystery,Thriller",85,6.2
V for Vendetta,"Action,Drama,Sci-Fi,Thriller",132,8.2
Upstream Color,"Action,Drama,Sci-Fi",96,6.7
Upside Down,"Action,Drama,Fantasy,Romance,Sci-Fi",109,6.4
Up in the Air,"Action,Drama,Romance",109,7.4
Up,"Action,Adventure,Animation,Comedy,Family",96,8.3
Untraceable,"Action,Crime,Drama,Mystery,Thriller",101,6.2
Unthinkable,"Action,Drama,Thriller",97,7.1
Unstoppable,"Action,Thriller",98,6.8
Unleashed,"Action,Crime,Drama,Thriller",103,7.0
Unknown,"Action,Mystery,Thriller",113,6.9
United 93,"Action,Crime,Drama,History,Thriller",111,7.6
Unfinished Song,"Action,Comedy,Drama,Music,Romance",90,7.0
Unfaithful,"Action,Drama,Romance,Thriller",124,6.7
Undisputed 3: Redemption,"Action,Crime,Drama,Sport",105,7.5
Underworld: Rise of the Lycans,"Action,Adventure,Fantasy,Sci-Fi,Thriller",92,6.6
Underworld: Evolution,"Action,Adventure,Fantasy,Sci-Fi,Thriller",106,6.7
Underworld Awakening,"Action,Fantasy,Horror",88,6.4
Underworld,"Action,Fantasy,Thriller",121,7.0
Under the Tuscan Sun,"Action,Comedy,Drama,Romance",113,6.8
Under the Skin,"Action,Drama,Horror,Sci-Fi,Thriller",108,6.3
Under the Electric Sky,"Action,Documentary,Music",85,6.5
Undefeated,"Action,Documentary,Sport",113,7.8
Unbroken,"Action,Biography,Drama,History,Sport",137,7.2
Unbreakable,"Action,Drama,Mystery,Sci-Fi,Thriller",106,7.2
U-571,"Action,War",116,6.6
Tyrannosaur,"Action,Drama",92,7.6
Two Night Stand,"Action,Comedy,Romance",86,6.4
Two for the Money,"Action,Drama,Sport,Thriller",122,6.2
Twice Born,"Action,Drama,Romance,War",127,7.4
Turks & Caicos,"Action,Drama,Mystery,Thriller",95,6.6
Turbo,"Action,Adventure,Animation,Comedy,Family",96,6.5
Tucker and Dale vs Evil,"Action,Comedy,Horror",89,7.6
TT3D: Closer to the Edge,"Action,Documentary,Sport",104,8.0
True Story,"Action,Crime,Drama,Mystery,Thriller",99,6.3
True Grit,"Action,Adventure,Drama,Western",110,7.6
Troy,"Action,Adventure,Drama,Fantasy,History",163,7.2
Trouble with the Curve,"Action,Drama,Sport",111,6.8
Tropic Thunder,"Action,Comedy",107,7.0
TRON: Legacy,"Action,Adventure,Fantasy,Sci-Fi",105,6.8
Trishna,,117,6.0
Triple Dog,"Action,Drama,Thriller",95,6.0
Trick 'r Treat,"Action,Comedy,Fantasy,Horror,Thriller",105,6.8
Triangle,"Action,Fantasy,Mystery,Thriller",99,6.9
Treasure Planet,"Action,Adventure,Animation,Family,Romance",95,7.1
Transsiberian,"Action,Crime,Drama,Mystery,Thriller",111,6.7
Transporter 3,"Action,Adventure,Crime,Mystery,Thriller",104,6.1
Transporter 2,"Action,Crime,Thriller",87,6.3
Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",150,6.0
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",154,6.3
Transformers,"Action,Adventure,Sci-Fi",144,7.1
Transcendence,"Action,Drama,Mystery,Romance,Sci-Fi",119,6.3
Traitor,"Action,Crime,Drama,Thriller",114,7.0
Training Day,"Action,Crime,Drama,Thriller",122,7.7
Traffic,"Action,Crime,Drama,Thriller",147,7.6
Tracks,"Action,Adventure,Biography,Drama",112,7.2
TPB AFK: The Pirate Bay Away from Keyboard,"Action,Documentary",85,7.6
Toy Story 3,"Action,Adventure,Animation,Comedy,Family",103,8.3
Tower Heist,"Action,Comedy,Crime",104,6.2
Touching the Void,"Action,Adventure,Documentary,Drama,Sport",106,8.1
Total Recall,"Action,Adventure,Mystery,Sci-Fi,Thriller",118,6.3
Top Five,"Action,Comedy,Romance",102,6.4
"Tomorrow, When the War Began","Action,Adventure,Drama,War",105,6.2
Tom and Jerry in Shiver Me Whiskers,"Action,Adventure,Animation,Comedy,Family",105,6.6
TMNT,"Action,Adventure,Animation,Comedy,Family",87,6.3
Tinker Tailor Soldier Spy,"Action,Drama,Mystery,Thriller",122,7.1
Tinker Bell and the Lost Treasure,"Action,Adventure,Animation,Family,Fantasy",105,6.8
Tinker Bell and the Legend of the NeverBeast,"Action,Adventure,Animation,Family,Fantasy",76,7.3
Tinker Bell and the Great Fairy Rescue,"Action,Adventure,Animation,Family,Fantasy",105,7.0
Tinker Bell,"Action,Adventure,Animation,Family,Fantasy",105,6.9
Tim's Vermeer,"Action,Documentary,History",80,7.8
Time Lapse,"Action,Sci-Fi,Thriller",104,6.5
Thunder and the House of Magic,"Action,Adventure,Animation,Comedy,Family",85,6.3
Three Night Stand,"Action,Comedy,Drama",86,6.0
Thorne: Sleepyhead,"Action,Crime,Drama,Mystery,Thriller",180,6.8
Thorne: Scaredycat,"Action,Crime,Drama,Mystery,Thriller",120,6.6
Thor: The Dark World,"Action,Adventure,Fantasy,Sci-Fi",112,7.0
Thor,"Action,Adventure,Fantasy,Sci-Fi",115,7.0
This Must Be the Place,"Action,Comedy,Drama",118,6.7
This Means War,"Action,Comedy,Romance",97,6.3
This Is Where I Leave You,"Action,Comedy,Drama",103,6.6
This Is the End,"Action,Comedy,Fantasy",107,6.6
This Is England,"Action,Crime,Drama",101,7.7
This Is 40,"Action,Comedy,Romance",134,6.2
Third Person,"Action,Drama,Romance",137,6.4
Think Like a Man,"Action,Comedy,Romance",105,6.6
These Final Hours,"Action,Drama,Sci-Fi,Thriller",87,6.7
These Amazing Shadows,"Action,Documentary",88,7.6
There Will Be Blood,"Action,Drama,History",158,8.1
The Zero Theorem,"Action,Comedy,Drama,Fantasy,Mystery",107,6.1
The Wrestler,"Action,Drama,Sport",109,7.9
The World's End,"Action,Comedy,Sci-Fi",109,7.0
The Words,"Action,Drama,Mystery,Romance,Thriller",102,7.1
The Woman in Black,"Action,Drama,Fantasy,Horror,Thriller",95,6.4
The Woman,"Action,Comedy,Crime,Drama,Horror",101,6.1
The Wolverine,"Action,Adventure,Sci-Fi,Thriller",126,6.7
The Wolf of Wall Street,"Action,Biography,Comedy,Crime,Drama",180,8.2
The Whistleblower,"Action,Biography,Crime,Drama,Thriller",112,7.2
The Whisperer in Darkness,"Action,Mystery,Sci-Fi,Thriller",103,6.6
The Wedding Ringer,"Action,Comedy,Romance",101,6.7
The Weather Man,"Action,Comedy,Drama",102,6.6
The Way Way Back,"Action,Comedy,Drama",103,7.4
The Way Back,"Action,Adventure,Biography,Drama,History",133,7.3
The Watsons Go to Birmingham,"Action,Family,History",87,6.5
The Water Horse,"Action,Adventure,Family,Fantasy",112,6.5
The Water Diviner,"Action,Drama,History,War",111,7.1
The Warrior's Way,"Action,Fantasy,Western",100,6.3
The Wackness,"Action,Comedy,Drama,Romance",99,7.0
The Vow,"Action,Drama,Romance",104,6.8
The Voices,"Action,Comedy,Crime,Horror,Thriller",103,6.4
The United States of Leland,"Action,Crime,Drama,Romance",108,7.1
The Uninvited,"Action,Drama,Horror,Mystery,Thriller",87,6.4
The Ugly Truth,"Action,Comedy,Romance",96,6.5
The Two Faces of January,"Action,Romance,Thriller",96,6.2
The Truth About Emanuel,"Action,Drama,Thriller",95,6.0
The Trotsky,"Action,Comedy,Drama",120,6.8
The Trip to Italy,"Action,Comedy,Drama",108,6.6
The Trials of Cate McCall,"Action,Drama",89,6.3
The Tree of Life,"Action,Drama,Fantasy",139,6.8
The Transporter,"Action,Crime,Thriller",92,6.8
The Town,"Action,Crime,Drama,Thriller",125,7.6
The Thing,"Action,Horror,Mystery,Sci-Fi,Thriller",103,6.2
The Theory of Everything,"Action,Biography,Drama,Romance",123,7.7
The Terminal,"Action,Comedy,Drama,Romance",128,7.3
The Tale of Despereaux,"Action,Adventure,Animation,Comedy,Family",93,6.1
The Taking of Pelham 123,"Action,Crime,Thriller",106,6.4
The Taking of Deborah Logan,"Action,Horror,Mystery,Thriller",90,6.0
The Switch,"Action,Comedy,Drama,Romance",105,6.1
The Sweeney,"Action,Crime,Drama",112,6.1
The Sunset Limited,"Action,Drama",91,7.4
The Sum of All Fears,"Action,Drama,Thriller,War",124,6.4
The Strangers,"Action,Horror,Mystery,Thriller",86,6.2
The SpongeBob Movie: Sponge Out of Water,"Action,Adventure,Animation,Comedy,Family",92,6.0
The Sorcerer's Apprentice,"Action,Adventure,Comedy,Drama,Family",109,6.1
The Social Network,"Action,Biography,Drama",120,7.7
The Snowtown Murders,"Action,Biography,Crime,Drama,History",119,6.6
The Skeleton Twins,"Action,Comedy,Drama,Romance",93,6.8
The Skeleton Key,"Action,Drama,Horror,Mystery,Thriller",104,6.5
The Signal,"Action,Sci-Fi,Thriller",97,6.1
The Selfish Giant,"Action,Drama",91,7.3
The Secret World of Arrietty,"Action,Adventure,Animation,Family,Fantasy",94,7.6
The Secret Life of Walter Mitty,"Action,Adventure,Comedy,Drama,Fantasy",114,7.3
The Second Best Exotic Marigold Hotel,"Action,Comedy,Drama",122,6.6
The Seasoning House,"Action,Drama,Horror,Thriller",90,6.1
The Score,"Action,Crime,Drama,Romance,Thriller",124,6.8
The Sapphires,"Action,Biography,Comedy,Drama,Music",103,7.1
The Salvation,"Action,Drama,Western",92,6.7
The Rundown,"Action,Adventure,Comedy,Thriller",104,6.7
The Rum Diary,"Action,Comedy,Drama",119,6.2
The Royal Tenenbaums,"Action,Comedy,Drama",110,7.6
The Rover,"Action,Crime,Drama,Sci-Fi,Thriller",103,6.4
The Rocker,"Action,Comedy,Music",102,6.2
The Road,"Action,Adventure,Drama",111,7.3
The Rite,"Action,Drama,Horror,Mystery,Thriller",114,6.0
The Riot Club,"Action,Drama,Thriller",107,6.0
The Ring,"Action,Horror,Mystery,Sci-Fi",115,7.1
The Right Kind of Wrong,"Action,Comedy,Romance",97,6.1
The Rewrite,"Action,Comedy,Romance",107,6.2
The Retrieval,"Action,Adventure,Drama,History,Western",92,6.6
The Replacements,"Action,Comedy,Sport",118,6.5
The Recruit,"Action,Crime,Drama,Mystery,Romance",115,6.6
The Rebound,"Action,Comedy,Romance",95,6.3
The Reader,"Action,Drama,Romance",124,7.6
The Raven,"Crime,Mystery,Thriller",110,6.4
The Railway Man,"Action,Biography,Drama,Romance,War",116,7.1
The Raid: Redemption,"Action,Crime,Thriller",101,7.6
The Pursuit of Happyness,"Action,Biography,Drama",117,8.0
The Purge: Anarchy,"Action,Horror,Sci-Fi,Thriller",103,6.5
The Proposal,"Action,Comedy,Drama,Romance",108,6.7
The Princess and the Frog,"Action,Adventure,Animation,Comedy,Family",97,7.1
The Prestige,"Action,Drama,Mystery,Sci-Fi,Thriller",130,8.5
The Polar Express,"Action,Adventure,Animation,Family,Fantasy",100,6.6
The Place Beyond the Pines,"Action,Crime,Drama,Thriller",140,7.3
The Pirates! Band of Misfits,"Action,Adventure,Animation,Comedy,Family",88,6.7
The Pirate Fairy,"Action,Adventure,Animation,Family,Fantasy",78,6.6
The Pianist,"Action,Biography,Drama,History,Music",150,8.5
The Physician,"Action,Adventure,Drama,History",150,7.2
The Phantom of the Opera,"Drama,Musical,Romance,Thriller",143,7.3
The Perks of Being a Wallflower,"Action,Drama,Romance",102,8.0
The Perfect Storm,"Action,Adventure,Drama,History,Thriller",130,6.4
The Perfect Host,"Action,Comedy,Crime,Thriller",105,6.8
The Patriot,"Action,Drama,History,War",165,7.2
The Passion of the Christ,"Action,Drama",127,7.2
The Others,"Action,Fantasy,Horror,Mystery,Thriller",101,7.6
The Other Woman,"Action,Comedy,Romance",109,6.0
The Other Guys,"Action,Comedy,Crime",107,6.7
The Other Boleyn Girl,"Action,Biography,Drama,History,Romance",115,6.7
The One I Love,"Action,Comedy,Drama,Fantasy,Romance",91,7.1
The Odd Life of Timothy Green,"Action,Comedy,Drama,Family,Fantasy",105,6.6
The Number 23,"Action,Drama,Mystery,Thriller",98,6.4
The November Man,"Action,Crime,Thriller",108,6.3
The Notebook,"Action,Drama,Romance",123,7.9
The Normal Heart,"Action,Biography,Drama,History,Romance",132,7.9
The Next Three Days,"Action,Crime,Drama,Romance,Thriller",133,7.4
The New World,"Action,Biography,Drama,History,Romance",135,6.7
The Myth of the American Sleepover,"Action,Comedy,Drama,Romance",96,6.3
The Muppets,"Action,Adventure,Comedy,Family,Musical",105,7.1
The Mummy Returns,"Action,Adventure,Fantasy,Thriller",130,6.3
The Mule,"Action,Comedy,Crime,Drama",103,6.3
The Motel Life,"Action,Animation,Drama,Mystery,Thriller",85,6.0
The Monuments Men,"Action,Drama,History,War",118,6.1
The Mist,"Action,Horror,Sci-Fi,Thriller",126,7.2
The Messenger,"Action,Drama,Romance,War",113,7.1
The Men Who Stare at Goats,"Action,Comedy,War",94,6.2
The Mechanic,"Action,Crime,Thriller",93,6.6
The Maze Runner,"Action,Mystery,Sci-Fi,Thriller",113,6.8
Matrix Revolutions,"Action,Adventure,Fantasy,Sci-Fi",129,6.7
The Matrix Reloaded,"Action,Sci-Fi",138,7.2
The Master,"Action,Drama",138,7.1
The Man Who Shook the Hand of Vicente Fernandez,"Action,Comedy,Drama,Western",99,6.2
The Man from Nowhere,"Action,Adventure,Crime,Drama,Thriller",119,7.8
The Man from Earth,"Action,Drama,Fantasy,Romance,Sci-Fi",87,7.9
The Majestic,"Action,Drama,Romance",152,6.9
The Maiden Heist,"Action,Comedy,Crime",90,6.1
The Magic of Belle Isle,"Action,Comedy,Drama",109,7.0
The Machinist,"Action,Drama,Thriller",101,7.7
The Machine,"Action,Drama,Sci-Fi,Thriller",91,6.1
The Lucky One,"Action,Drama,Romance",101,6.5
The Lovely Bones,"Action,Drama,Fantasy,Thriller",135,6.7
The Losers,"Action,Adventure,Crime,Drama,Mystery",97,6.4
The Lord of the Rings: The Two Towers,"Action,Adventure,Drama,Family,Fantasy",179,8.7
The Lord of the Rings: The Return of the King,"Action,Adventure,Drama,Fantasy",201,8.9
The Lord of the Rings: The Fellowship of the Ring,"Action,Adventure,Drama,Fantasy",178,8.8
The Lorax,"Action,Adventure,Animation,Comedy,Drama",86,6.4
The Lookout,"Action,Crime,Drama,Thriller",99,7.1
The Look of Love,"Biography,Comedy,Drama",101,6.0
The Longest Yard,"Action,Comedy,Crime,Sport",113,6.4
The Longest Ride,"Action,Drama,Romance",123,7.1
The Lone Ranger,"Action,Adventure,Western",150,6.5
The Loft,"Action,Mystery,Romance,Thriller",108,6.3
The Little Death,"Action,Comedy,Drama,Romance",96,7.1
The Lion King 1 1/2,"Action,Adventure,Animation,Comedy,Family",77,6.6
The Lincoln Lawyer,"Action,Crime,Drama,Thriller",118,7.3
The Life Aquatic with Steve Zissou,"Action,Adventure,Comedy,Drama",119,7.3
The Lego Movie,"Action,Adventure,Animation,Comedy,Family",100,7.8
The Legend Is Born: Ip Man,"Action,Biography,Drama,History,Sport",100,7.1
The Ledge,"Action,Drama,Romance,Thriller",105,6.6
The Lazarus Project,"Action,Drama,Horror,Mystery,Thriller",100,6.2
The Last Stand,"Action,Comedy,Crime,Thriller",107,6.4
The Last Samurai,"Action,Drama,History,War",154,7.7
The Last Lions,"Action,Documentary,Family",88,8.3
The Last King of Scotland,"Action,Biography,Drama,History,Thriller",123,7.7
The Lake House,"Action,Drama,Fantasy,Romance",99,6.8
The King's Speech,"Action,Biography,Drama,History,Romance",118,8.0
The Kings of Summer,"Action,Adventure,Comedy,Drama",95,7.2
The Kingdom,"Action,Drama,Thriller",110,7.1
The Kids Are All Right,"Action,Comedy,Drama,Romance",106,7.0
