Title,Genre,Runtime,Rating
Along with the Gods: The Two Worlds,"Action,Adventure,Drama,Fantasy",139,7.4
Dark Blue World,"Action,Drama,Romance,War",112,7.3
Ilo Ilo,Drama,99,7.3
Bowling for Columbine,"Crime,Documentary,Drama",120,8.0
Paddington 2,"Adventure,Animation,Comedy,Family,Fantasy",103,8.0
Chasing Coral,Documentary,93,8.1
Gaga: Five Foot Two,"Biography,Documentary,Music,Musical",100,7.1
The Farthest,"Documentary,History",121,8.1
Loveless,Drama,127,7.7
Icarus,"Documentary,Sport,Thriller",121,8.0
Veronica,"Drama,Horror",105,6.2
Hostages,"Crime,Drama",103,6.3
Tsukiji Wonderland,Documentary,111,7.5
Strangled,"Crime,Thriller",121,7.1
Still Life,Drama,92,7.4
Parked,Drama,94,6.8
Six Shooter,"Comedy,Drama",27,7.6
Heartbeats,"Drama,Romance",101,7.2
"I, Tonya","Biography,Comedy,Drama,Sport",120,7.6
The Breadwinner,"Animation,Drama,Family",94,7.6
Devil's Tree: Rooted Evil,"Horror,Thriller",76,6.2
Novitiate,Drama,123,6.6
The Eternal Road,"Drama,History",103,7.3
The Shape of Water,"Adventure,Drama,Fantasy,Horror,Romance",123,7.5
Ferdinand,"Adventure,Animation,Comedy,Family,Fantasy",108,6.7
I Remember You,"Drama,Horror,Mystery,Thriller",105,6.2
My Entire High School Sinking Into the Sea,"Animation,Comedy,Drama",75,6.2
London to Brighton,"Crime,Drama,Thriller",85,7.0
The Great Vazquez,"Biography,Comedy",106,6.3
The Body,"Mystery,Thriller",108,7.6
Generation Iron 2,Documentary,106,6.1
The Square,"Comedy,Drama",151,7.4
Forgotten,"Mystery,Thriller",108,7.2
The Girl Without Hands,Animation,76,7.0
Same Kind of Different as Me,Drama,119,6.3
Meester Kikker,Family,86,6.4
Marrowbone,"Drama,Horror,Thriller",110,6.6
Wonder Wheel,Drama,101,6.2
The Disaster Artist,"Biography,Comedy,Drama",104,7.6
The Man Who Invented Christmas,"Biography,Comedy,Drama",104,7.0
Raw,"Drama,Horror",99,7.0
I Called Him Morgan,"Documentary,Drama,History,Music",92,7.2
The Women's Balcony,"Comedy,Drama",96,6.6
Giant,"Drama,History",114,6.8
The Last Laugh,Documentary,88,7.0
Human Flow,Documentary,140,6.9
"Burn Motherfucker, Burn!",Documentary,99,6.5
In This Corner of the World,"Animation,Drama,Family,Fantasy,History",129,7.9
Graduation,"Crime,Drama",128,7.4
The Battleship Island,"Action,Drama,History,War",132,7.2
The Death of Stalin,"Comedy,History",107,7.2
Paradox,Action,101,6.7
Z-O-M-B-I-E-S,"Musical,Romance",94,6.6
2048: Nowhere to Run,"Action,Sci-Fi",5,6.9
A Taxi Driver,"Action,Drama,History",137,7.9
Midnight Runners,"Action,Comedy,Crime",109,7.1
2036: Nexus Dawn,Sci-Fi,6,7.0
Lucknow Central,"Action,Crime,Drama,Music,Thriller",133,6.1
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,Documentary,95,8.0
The Happiest Day in the Life of Olli Mäki,"Biography,Drama,Romance,Sport",92,7.2
Chris Rock: Tamborine,Comedy,64,6.5
The Red Turtle,"Animation,Fantasy",80,7.5
Tragedy Girls,"Comedy,Horror",98,6.0
Columbus,Drama,105,7.3
Call Me by Your Name,"Drama,Romance",132,8.0
Mountain,Documentary,105,7.3
Your Name,"Animation,Drama,Fantasy,Romance",106,8.4
Dawson City: Frozen Time,"Documentary,History",120,7.6
Good Time,"Crime,Drama,Thriller",101,7.3
Menashe,Drama,82,6.5
Newness,"Drama,Romance",112,6.4
Kedi,Documentary,79,7.7
"Three Billboards Outside Ebbing, Missouri","Crime,Drama",115,8.2
Jagga Jasoos,"Action,Adventure,Comedy,Musical,Mystery",161,6.5
Mudbound,"Drama,War",134,7.5
Final Portrait,"Biography,Comedy,Drama",90,6.3
My Life as a Zucchini,"Animation,Comedy,Drama",66,7.8
The Salesman,"Drama,Thriller",124,7.8
I Am Not Your Negro,Documentary,93,7.8
Lady Bird,"Comedy,Drama",94,7.5
Polina,Drama,108,6.7
Blood of My Blood,"Drama,History",106,6.2
I Am Not a Witch,Drama,93,6.7
Sophie and the Rising Sun,Drama,105,6.5
Justice League,"Action,Adventure,Fantasy,Sci-Fi",120,6.7
Contemporary Color,"Documentary,Music",97,6.4
The Ballad of Lefty Brown,Western,111,6.2
In the Family,"Drama,Romance",169,7.1
Blade of the Immortal,"Action,Drama",140,6.8
Batman: Gotham by Gaslight,"Action,Adventure,Animation,Crime,Fantasy",78,6.8
Darkest Hour,"Biography,Drama,History,War",125,7.4
The Pirates of Somalia,"Biography,Drama",116,6.8
In Search of Balance,Documentary,74,6.6
Minimalism: A Documentary About the Important Things,Documentary,79,6.7
Tom of Finland,"Biography,Drama",115,6.9
Thelma,"Drama,Fantasy,Mystery,Romance,Thriller",116,7.1
My Friend Dahmer,"Biography,Drama,Horror",107,6.4
When We First Met,"Comedy,Fantasy,Romance",97,6.4
Bomb City,"Action,Crime,Drama,Thriller,Western",95,7.1
The Ritual,Horror,94,6.3
Accident Man,"Action,Crime,Thriller",105,6.1
Coco,"Adventure,Animation,Comedy,Family,Fantasy",105,8.5
Murder on the Orient Express,"Crime,Drama,Mystery",114,6.6
Doctor Who: Shada,Sci-Fi,138,6.0
The Everlasting Flame,"Documentary,Sport",101,6.2
Daddy's Home 2,Comedy,100,6.0
The Florida Project,Drama,111,7.6
Only the Brave,"Biography,Drama",134,7.7
God's Own Country,"Drama,Romance",104,7.7
Wonder,"Drama,Family",113,8.0
Crooked House,"Crime,Drama,Mystery",115,6.3
"Roman J. Israel, Esq.","Crime,Drama",122,6.4
Wheelman,"Action,Crime,Mystery,Thriller",82,6.4
Voyeur,Documentary,96,6.2
The Great Invisible,Documentary,92,6.6
Naledi: A Baby Elephant's Tale,Documentary,90,7.5
The Meyerowitz Stories,"Comedy,Drama",112,7.0
Our Souls at Night,"Drama,Romance",103,6.9
Cuba and the Cameraman,Documentary,113,8.2
Catching the Sun,"Documentary,Drama,History,News",75,7.0
A Plastic Ocean,Documentary,102,7.9
1922,"Crime,Drama,Mystery,Thriller",102,6.3
Bright,"Action,Crime,Fantasy,Thriller",117,6.4
Thor: Ragnarok,"Action,Adventure,Comedy,Fantasy,Sci-Fi",130,7.9
Phineas and Ferb the Movie: Across the 2nd Dimension,"Action,Adventure,Animation,Comedy,Family",105,7.5
Sweet Virginia,"Drama,Thriller",93,6.1
LBJ,"Biography,Drama",98,6.3
Almost Friends,"Comedy,Drama",101,6.1
Borg vs McEnroe,"Biography,Drama,Sport",107,7.0
Boone: The Bounty Hunter,"Action,Drama",86,6.8
Last Flag Flying,"Comedy,Drama,War",125,6.9
The Killing of a Sacred Deer,"Drama,Horror,Mystery,Thriller",121,7.1
"The Games of the V Olympiad Stockholm, 1912","Documentary,Sport",170,6.3
Chasing Great,"Biography,Documentary,Drama,Sport",105,7.2
Thank You for Your Service,"Biography,Drama,War",109,6.5
Professor Marston and the Wonder Women,"Biography,Drama",108,7.1
Goodbye Christopher Robin,"Biography,Drama,Family,History",107,7.1
Kenny,"Documentary,Sport",86,7.3
Loving Vincent,"Animation,Biography,Crime,Drama,Mystery",94,7.9
Happy Death Day,"Horror,Mystery,Thriller",96,6.5
Blade Runner 2049,"Drama,Mystery,Sci-Fi,Thriller",164,8.1
My Little Pony: The Movie,"Adventure,Animation,Comedy,Family,Fantasy",99,6.2
The Foreigner,"Action,Crime,Drama,Mystery,Thriller",113,7.0
Marshall,"Biography,Drama",118,7.2
Rebel in the Rye,"Biography,Drama,Romance,War",106,6.6
Brawl in Cell Block 99,"Crime,Drama",132,7.2
Chasing Trane: The John Coltrane Documentary,"Biography,Documentary,Music",99,7.3
Mark Felt: The Man Who Brought Down the White House,"Biography,Drama,History,Thriller",103,6.4
Battle of the Sexes,"Biography,Comedy,Drama,Sport",121,6.8
Mayhem,"Action,Horror",86,6.3
Brad's Status,"Comedy,Drama,Music",102,6.5
Breathe,"Biography,Drama,Romance",118,7.1
City of Ghosts,"Documentary,War",92,7.5
It,"Drama,Horror,Thriller",135,7.5
The Mountain Between Us,"Action,Adventure,Drama,Romance,Thriller",112,6.4
California Typewriter,Documentary,103,7.2
The Lego Ninjago Movie,"Action,Adventure,Animation,Comedy,Family",101,6.0
Stronger,"Biography,Drama",119,7.0
Victoria & Abdul,"Biography,Drama,History",111,6.8
Mother!,"Drama,Horror,Mystery",121,6.7
Enter Nowhere,"Mystery,Sci-Fi,Thriller",90,6.6
Dunkirk,"Action,Drama,History,Thriller,War",106,8.0
American Made,"Action,Biography,Comedy,Crime,Drama",105,7.2
Ferrari: Race to Immortality,Documentary,91,6.7
The Party,"Comedy,Drama",71,6.7
Detroit,"Crime,Drama,History,Thriller",143,7.4
Kingsman: The Golden Circle,"Action,Adventure,Comedy",141,6.8
Better Watch Out,"Comedy,Horror,Thriller",89,6.5
Love Finds You in Charm,Drama,92,6.5
1 Buck,"Drama,Thriller",90,6.0
Gook,Drama,94,7.1
Wish for Christmas,"Drama,Family",89,6.1
Love Finds You in Valentine,"Drama,Romance",87,6.4
Animal Factory,"Crime,Drama",94,6.6
All the King's Men,"Drama,Thriller",128,6.2
A Princess for Christmas,"Comedy,Drama,Family,Romance",91,6.5
Batman vs. Two-Face,"Action,Animation,Comedy",72,6.1
The Good Neighbor,"Crime,Drama,Thriller",98,6.3
The Snow Queen 3,"Adventure,Animation,Comedy,Family,Sci-Fi",80,6.7
American Assassin,"Action,Thriller",112,6.2
Kinky Boots,"Comedy,Drama,Music",107,7.1
Super Dark Times,"Drama,Thriller",100,6.6
Score: A Film Music Documentary,"Documentary,Music",93,7.4
Tulip Fever,"Drama,Romance",105,6.2
Rememory,"Drama,Mystery,Sci-Fi",111,6.2
Logan Lucky,"Comedy,Crime,Drama",118,7.1
The Hitman's Bodyguard,"Action,Comedy,Thriller",118,6.9
Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy,Sci-Fi",105,6.5
Beach Rats,Drama,98,6.5
Patti Cake$,"Drama,Music",109,6.6
Lipstick Under My Burkha,Drama,117,6.9
The Limehouse Golem,"Horror,Mystery,Thriller",109,6.3
The Healer,"Comedy,Drama,Family,Romance",113,6.2
Brigsby Bear,"Comedy,Drama",97,7.4
Wind River,"Crime,Drama,Mystery,Thriller",107,7.8
Atomic Blonde,"Action,Mystery,Thriller",115,6.7
Ali and Nino,"Drama,Romance,War",100,7.1
The Glass Castle,"Biography,Drama",127,7.1
Jungle,"Action,Adventure,Biography,Drama,Thriller",115,6.7
