Title,Rating,Genre,Runtime
Il campione,N/A,Short,N/A
Die Frau meiner Träume,6.5,"Comedy, Musical, Romance",93 min
Taxi Driver,8.2,"Crime, Drama",114 min
The Bridge on the River Kwai,8.1,"Adventure, Drama, War",161 min
Magicians,7.1,"Comedy, Musical, Romance",147 min
Nenavist,4.8,Adventure,72 min
Full Metal Jacket,8.3,"Drama, War",116 min
Alex in Wonderland,5.4,"Comedy, Drama",110 min
The Hanging Woman,5.6,Horror,98 min
HealtH,5.6,Comedy,105 min
Sorcerer,7.7,"Adventure, Drama, Thriller",121 min
When Nature Calls,4.6,Comedy,85 min
Shirak,5.8,"Drama, Family",110 min
Casablanca,8.5,"Drama, Romance, War",102 min
The Melancholy Hussar,N/A,Drama,N/A
Anna and the King of Siam,7.0,"Biography, Drama, Romance",128 min
L'addition,5.7,"Drama, Thriller",85 min
Full Metal Jacket,8.3,"Drama, War",116 min
Dr. Kovács István,6.7,Drama,94 min
Paths of Glory,8.4,"Drama, War",88 min
Zima w dolinie Muminkow,N/A,Animation,60 min
Stavisky,6.5,"Biography, Crime, Drama",120 min
Unpublished Story,6.5,"Drama, War",92 min
White Nights,7.8,"Drama, Romance",97 min
Buford and the Galloping Ghost,7.2,"Animation, Comedy, Family",N/A
Star Trek: The Animated Series,7.2,"Animation, Action, Adventure",30 min
Terror on the Beach,5.5,"Action, Drama, Thriller",74 min
The Serpent's Way,6.2,Drama,111 min
Condenados a muerte,N/A,"Adventure, Drama, Western",N/A
Penetration,5.9,"Adult, Documentary",90 min
Parthiban Kanavu,6.4,N/A,219 min
Amanie,N/A,Short,32 min
Sorcerer,7.7,"Adventure, Drama, Thriller",121 min
Es fing so harmlos an,6.9,N/A,90 min
Crocodile Dundee II,5.7,"Action, Adventure, Comedy",108 min
Das Boot,8.4,"Drama, War",149 min
The Revenge of Frankenstein,6.7,"Horror, Sci-Fi",90 min
Sueños de historia,N/A,N/A,N/A
The Wetback Hound,7.1,"Short, Family",18 min
Anna Lucasta,6.8,Drama,97 min
Cortina di cristallo,N/A,N/A,N/A
Girl in the Woods,N/A,Drama,71 min
Let's Rock,4.9,"Drama, Music",79 min
Merry Andrew,6.6,"Comedy, Musical, Romance",103 min
Doroga k zvezdam,7.1,"Biography, Sci-Fi",52 min
To Itch His Own,7.1,"Animation, Family, Short",6 min
"Tuppe tuppe, Marescià!",5.7,Comedy,95 min
The Accomplices,5.4,"Thriller, Crime",93 min
Date at Midnight,N/A,Crime,57 min
Five Bold Women,6.6,Western,82 min
"Mikosch, der Stolz der Kompanie",6.5,Comedy,95 min
The Price of Silence,6.3,"Crime, Drama",73 min
Sleeping Beauty,7.2,"Animation, Adventure, Family",75 min
Vacanze d'inverno,6.2,Comedy,100 min
Peter Loves Mary,6.0,Comedy,30 min
Bluebeard's Ten Honeymoons,6.1,"Crime, Mystery, Thriller",92 min
Domaren,6.0,Drama,112 min
Heldinnen,6.3,"Comedy, Musical",95 min
Man on a String,6.2,"Action, Crime, Drama",92 min
La rosa roja,N/A,N/A,80 min
Tao hua lei,N/A,Drama,115 min
Five Star Jubilee,N/A,N/A,30 min
Anima nera,6.2,Drama,97 min
Cradle of Genius,6.2,"Documentary, Short",25 min
The Exiles,6.7,Drama,72 min
Immer Ärger mit dem Bett,6.9,"Comedy, Crime",88 min
Magic Spectacles,2.6,Comedy,74 min
Pirates of Tortuga,5.3,Adventure,97 min
Ein Sommertag macht keine Liebe,N/A,N/A,78 min
The Young Doctors,6.8,Drama,100 min
L'assedio di Siracusa,5.3,"Drama, History, Romance",97 min
Et moi je suis belle,N/A,Documentary,90 min
In the French Style,6.6,"Drama, Romance",105 min
The Man Who Finally Died,6.1,"Crime, Drama, Mystery",98 min
Prekobrojna,7.1,Drama,94 min
The Slick Chick,6.0,"Animation, Family, Short",7 min
#DUPE#,N/A,N/A,N/A
Ben Jerrod,7.6,Drama,30 min
Cinderella,5.4,N/A,N/A
Follow the Boys,5.3,"Comedy, Musical, Romance",95 min
13 Assassins,7.4,"Adventure, Action",125 min
Noches de Casablanca,5.4,Drama,101 min
"Sing, aber spiel nicht mit mir",4.8,"Comedy, Music",91 min
Os Verdes Anos,7.4,"Drama, Romance",91 min
"Alf, Bill & Fred",7.3,"Animation, Comedy, Short",7 min
Double Edged Crime,6.6,"Crime, Drama, Thriller",90 min
For Those Who Think Young,5.2,Comedy,96 min
Eskimo Artist: Kenojuak,6.5,"Documentary, Short",20 min
An Outlaw,6.7,"Crime, Drama, Thriller",98 min
Un rincón para querernos,6.0,"Comedy, Drama, Romance",83 min
Tintansón CruZoe,6.5,"Comedy, Fantasy",90 min
The John Forsythe Show,7.2,Comedy,30 min
"Yu mian yan luo, xia ji",N/A,N/A,N/A
I due toreri,5.6,Comedy,110 min
Highway Runnery,5.6,"Family, Animation, Short",7 min
Le majordome,6.0,Comedy,93 min
The Priest and the Girl,7.3,Drama,90 min
7 pistole per i MacGregor,5.4,"Drama, Western",107 min
The Uncle,7.0,Drama,87 min
The Milton Berle Show,8.3,"Music, Comedy",60 min
L'authentique procès de Carl-Emmanuel Jung,7.1,Drama,62 min
The Daydreamer,6.1,"Animation, Adventure, Drama",101 min
The Fighting Prince of Donegal,6.0,"Adventure, Biography, Family",110 min
Juego peligroso,6.0,"Comedy, Crime",94 min
Six Kids and Their Uncle,6.4,"Comedy, Family",114 min
Preis der Freiheit,7.9,Drama,83 min
The Silencers,5.9,"Action, Adventure, Comedy",102 min
Top Crack,4.3,Comedy,100 min
The Herculoids,7.4,"Animation, Short, Adventure",10 min
Cayuga Run - Hudson River Diary: Book I,N/A,Short,18 min
Drra på - Kul grej på väg till Götet,4.2,"Comedy, Music",100 min
Il grande colpo dei 7 uomini d'oro,5.9,"Adventure, Comedy, Crime",97 min
Keresztelö,6.1,Drama,91 min
"Monkeys, Go Home!",5.7,"Comedy, Family",101 min
Powrót na ziemie,5.0,Drama,80 min
#DUPE#,N/A,N/A,N/A
Way Out,6.6,Drama,102 min
"30 Is a Dangerous Age, Cynthia",5.2,"Comedy, Romance",85 min
Catherine,5.0,Action,110 min
#DUPE#,N/A,N/A,N/A
Heimlichkeiten,7.8,Crime,92 min
Kiedy milosc byla zbrodnia,6.4,Drama,92 min
Modiga mindre män,7.0,Family,85 min
I protagonisti,6.5,"Action, Crime, Drama",105 min
She-Devils on Wheels,4.5,"Action, Crime, Thriller",82 min
Uden en trævl,4.9,"Comedy, Drama",89 min
The Bold Ones: The Protectors,7.0,Drama,60 min
The Alley Cats,4.9,Drama,83 min
Carry on Camping,6.6,Comedy,88 min
"Drive Hard, Drive Fast",7.9,"Adventure, Drama",120 min
"Goodbye, Columbus",6.4,"Comedy, Drama, Romance",102 min
Kaya,7.2,"Crime, Drama, War",87 min
Midnight Cowboy,7.8,Drama,113 min
Uno straniero a Paso Bravo,5.8,Western,92 min
A Session with the Committee,6.7,"Comedy, Documentary",90 min
The Invincible Fist,6.8,"Action, Drama",99 min
¿Por qué pecamos a los cuarenta?,4.7,Comedy,107 min
Adam's Woman,6.3,Drama,116 min
Cannon for Cordoba,5.7,"Action, Romance, Western",104 min
#DUPE#,N/A,N/A,N/A
The Hard Ride,5.3,"Action, Drama",93 min
Laila (17 år) badar,8.4,Short,15 min
Moonfire,4.6,"Action, Adventure, Drama",107 min
Pravda,5.5,Documentary,58 min
Skulle det dukke opp flere lik er det bare å ringe.....,7.1,"Comedy, Crime, Mystery",98 min
#DUPE#,N/A,N/A,N/A
Funny Face,6.6,Comedy,30 min
The Manipulator,3.9,Thriller,85 min
Code Name: Raw-Hide,3.8,"Adult, Adventure, Comedy",N/A
Husbands-Report,4.3,"Comedy, Drama",78 min
Hail,6.9,Comedy,85 min
Ksiaze sezonu,N/A,"Drama, Romance",53 min
The Boldest Job in the West,5.7,Western,93 min
Portugal de Mil Cores,N/A,"Animation, Short",13 min
Shin Abashiri Bangaichi: Fubuki no Dai-Dassou,N/A,Crime,110 min
Trotta,7.3,Drama,95 min
Zycie rodzinne,6.8,Drama,88 min
1776,7.6,"Drama, Family, History",141 min
Bluebeard,5.6,"Crime, Drama, Thriller",125 min
You Are a Traitor and I'll Kill You!,3.3,Western,79 min
Familien med de 100 børn,4.3,Family,80 min
Hibotan bakuto: Jingi tooshimasu,6.8,Crime,96 min
Kun taivas putoaa...,6.7,Drama,100 min
Molly and Lawless John,5.3,"Drama, Western",98 min
The Mighty Anselmo and His Squire,6.2,Comedy,98 min
Los siete locos,6.9,Drama,118 min
Le trèfle à cinq feuilles,5.4,Comedy,90 min
Der Bastian,7.6,Drama,25 min
Battle of the Amazons,4.3,"Action, Fantasy",100 min
Cahill U.S. Marshal,6.4,"Drama, Western",103 min
Divorce His - Divorce Hers,5.1,"Drama, Romance",148 min
The Great American Cowboy,7.0,"Documentary, Sport",89 min
