Title,Rating,Genre,Runtime
The Aerodrome,6.6,"Drama, Sci-Fi",91 min
The Man with the Carnation,7.7,"Biography, Drama, History",125 min
Aube noire,N/A,N/A,90 min
Der Bastard,N/A,N/A,203 min
Big Ball,5.3,Short,22 min
Boogeyman II,2.1,Horror,79 min
Cap Canaille,4.9,"Action, Crime, Drama",103 min
Cindy - Cinderella '80,6.5,"Drama, Fantasy, Musical",173 min
The City and the Dogs,7.4,Drama,135 min
Covjek od rijeci,N/A,N/A,N/A
In the White City,7.3,Drama,108 min
La desconocida,3.8,Thriller,90 min
Doctor Detroit,5.2,Comedy,89 min
Eddie Murphy: Delirious,8.1,Comedy,69 min
EPCOT Center: The Opening Celebration,7.4,"Comedy, Family, Music",50 min
Family Business,N/A,"Comedy, Drama, Romance",N/A
The First Turn-On!!,4.2,Comedy,88 min
Funny People 2,5.6,Comedy,85 min
Girls of the White Orchid,5.1,"Crime, Drama",98 min
Grain of Sand,6.6,Comedy,90 min
Halo taxi,6.9,Thriller,98 min
Detenute violente,3.3,"Action, Crime, Drama",90 min
Omnisphere,8.6,N/A,N/A
I Married Wyatt Earp,5.8,"Drama, Western",100 min
Rubberface,3.4,"Comedy, Drama",48 min
Jimmy the Kid,4.7,Comedy,85 min
Kerbels Flucht,7.5,N/A,105 min
Kutya éji dala,7.1,Drama,150 min
Mercenaries from Hong Kong,6.7,"Action, Drama",95 min
The Lords of Discipline,6.6,Thriller,102 min
The Man Who Wasn't There,3.8,"Action, Adventure, Comedy",111 min
Masoom,8.4,"Drama, Family",165 min
Miss Lonelyhearts,N/A,"Comedy, Drama, Romance",56 min
"Murder Me, Murder You",7.1,"Action, Crime, Mystery",96 min
Naughty Boys,6.2,Drama,105 min
Notturno,6.0,"Action, Adventure",112 min
One Too Many,6.4,"Adventure, Comedy, Drama",30 min
Pallavi Anu Pallavi,7.4,"Drama, Romance",N/A
Permettete signora che ami vostra figlia?,6.6,"Comedy, Drama, Romance",102 min
The Planets,7.9,"Documentary, Music",50 min
The Prodigal,5.6,Drama,109 min
Il ras del quartiere,6.0,Comedy,88 min
Richard Pryor... Here and Now,7.2,"Documentary, Comedy",83 min
"Run Rebecca, Run!",5.3,Drama,N/A
Time for Loving,6.1,Comedy,94 min
The Second Love,4.4,"Drama, Romance",103 min
"7, Hyden Park: La casa maledetta",5.6,"Horror, Mystery, Thriller",96 min
Beauty and the Beast,7.0,Drama,87 min
Sound of Sunshine - Sound of Rain,7.0,"Animation, Short",15 min
The Sting II,4.9,"Comedy, Crime",101 min
Superman III,5.0,"Action, Adventure, Comedy",125 min
Tell Me That You Love Me,4.3,"Comedy, Drama",91 min
A Time to Die,4.2,"Crime, Drama",91 min
The Tragedy of Coriolanus,7.4,"Drama, History",145 min
U bent mijn moeder,8.0,"Biography, Comedy",77 min
Uuno Turhapuron muisti palailee pätkittäin,5.4,Comedy,90 min
"Vitya Glushakov, drug Apachey",7.0,"Comedy, Family",77 min
Where Is Parsifal?,4.8,Comedy,82 min
Winners & Sinners,6.6,"Action, Comedy, Crime",108 min
Zachvev strachu,5.9,Drama,N/A
Últimas tardes con Teresa,5.8,Drama,105 min
Charlie,6.7,N/A,240 min
Empire,7.0,"Action, Musical",30 min
Highway to Heaven,6.8,"Drama, Fantasy",60 min
Master of the Game,7.3,Drama,413 min
La piovra,8.4,"Action, Crime, Drama",402 min
Special Squad,8.1,Drama,50 min
#DUPE#,N/A,N/A,N/A
The Adventures of Buckaroo Banzai Across the 8th Dimension,6.2,"Adventure, Comedy, Sci-Fi",103 min
The Ambassador,5.3,"Action, Drama, Thriller",97 min
The Satin Spider,5.2,"Crime, Drama, Horror",82 min
Bachelor Party,6.3,Comedy,105 min
Be Somebody... or Be Somebody's Fool!,8.0,"Family, Music",52 min
Blanche and Marie,5.9,"Drama, War",92 min
The Boy Who Had Everything,5.9,Drama,94 min
C.H.U.D.,5.6,"Horror, Sci-Fi",88 min
A Case of Libel,7.9,"Crime, Drama",115 min
Code Gray: Ethical Dilemmas in Nursing,6.7,"Documentary, Short",26 min
Crazy Kung Fu Master,7.2,"Action, Comedy",93 min
Dark Mirror,5.4,"Drama, Thriller",120 min
Dangerous Moves,6.6,"Drama, Sport, Thriller",100 min
De droomproducenten,5.8,Documentary,100 min
Les enragés,4.9,Drama,92 min
Fanny Hill,5.1,"Comedy, Drama, Romance",98 min
The Flamingo Kid,6.2,"Comedy, Drama, Romance",100 min
Frankenstein 90,4.5,"Comedy, Drama, Horror",100 min
Unknown,N/A,N/A,N/A
Girls Nite Out,4.9,"Horror, Mystery, Thriller",96 min
The Great Gold Swindle,7.1,"Crime, Drama",95 min
Harry & Son,5.8,Drama,120 min
The Hit,7.0,"Crime, Drama, Thriller",98 min
Hum Dono,6.6,"Comedy, Family, Musical",156 min
In Heaven There Is No Beer?,7.0,"Documentary, Music",51 min
It Came Upon the Midnight Clear,7.5,"Drama, Family",97 min
Joy of Sex,3.8,"Comedy, Romance",93 min
The Karate Kid,7.3,"Action, Drama, Family",126 min
Kim,5.9,"Adventure, Drama, Family",150 min
Kun Hunttalan Matti Suomen osti,5.0,Comedy,81 min
Last of the Great Survivors,6.6,Comedy,104 min
Verdi,8.1,"Biography, Drama, Music",70 min
Love Thy Neighbor,6.6,Comedy,100 min
Mail Order Bride,6.6,"Comedy, Drama",86 min
Mass Appeal,6.7,Drama,99 min
Mgla,N/A,Drama,63 min
Mon inconnue,N/A,"Short, Drama",N/A
Muzsika,N/A,N/A,N/A
The Next One,4.7,"Drama, Fantasy, Sci-Fi",105 min
No Small Affair,5.5,"Comedy, Drama, Music",102 min
The Oasis,6.2,Drama,92 min
Once Upon a Time in America,8.3,"Crime, Drama",229 min
The Painted Door,6.0,"Short, Drama",24 min
Perras callejeras,4.4,Crime,97 min
Police Academy,6.7,Comedy,96 min
Przeznaczenie,6.3,"Biography, Drama",93 min
Raaj Tilak,5.7,"Action, Drama",N/A
Reno and the Doc,6.2,"Comedy, Drama",89 min
Ryabinovye nochi,N/A,Drama,1 h 9 min
Darlings!,6.4,"Comedy, Drama, Thriller",101 min
Secrets of a Married Man,5.4,Drama,100 min
Shanghai Blues,7.2,"Comedy, Romance",103 min
#DUPE#,N/A,N/A,N/A
Sny i marzenia,N/A,Drama,97 min
Les spécialistes,6.4,"Adventure, Crime",94 min
Straßenfilm,N/A,Short,14 min
Sömnen,5.0,Drama,97 min
Voyage to Cythera,7.7,Drama,120 min
An Eternal Combat,5.6,"Action, Comedy, Fantasy",90 min
Torchlight,3.8,"Drama, Romance",90 min
Ultimatum,4.3,Drama,90 min
Vamping,5.7,Drama,108 min
Vocazione,N/A,Short,10 min
Wenn ich dich nicht hätte,N/A,Drama,60 min
Wo andere schweigen,5.8,"Biography, Drama",106 min
Sweet and Naughty,7.1,"Adult, Comedy, Romance",81 min
Zwei Bilder,N/A,Short,9 min
Bassmasters,N/A,Sport,30 min
The Detective,7.1,N/A,50 min
Hollywood Wives,6.3,"Drama, Romance",2 min
The Lucie Arnaz Show,5.7,Comedy,30 min
"North & South: Book 1, North & South",8.1,"Drama, History, Romance",2 min
Schöne Ferien,6.7,N/A,60 min
Varuhuset,6.1,Drama,45 min
AD Police Files,6.7,"Animation, Crime, Sci-Fi",121 min
After Hours,7.6,"Comedy, Crime, Drama",97 min
American Commandos,3.8,Action,88 min
Anne of Green Gables,8.5,"Drama, Family",199 min
Avaeté - Semente da Vingança,6.3,Drama,110 min
Baryton,7.0,Drama,95 min
"Bettina von Arnim, geb. Brentano",N/A,N/A,N/A
Blood Beat,4.7,Horror,87 min
Braker,4.5,"Crime, Drama",90 min
A Bunny's Tale,5.8,"Biography, Comedy, Drama",104 min
Certain Fury,5.3,"Action, Crime, Drama",87 min
Chronicles of an Event,N/A,"Short, Documentary",16 min
Code of Silence,6.0,"Action, Crime, Drama",100 min
Crime Killer,5.9,"Action, Crime",90 min
Dance with a Stranger,6.6,"Biography, Crime, Drama",96 min
Desperately Seeking Susan,6.1,"Comedy, Drama",104 min
Does Humor Belong in Music?,8.3,"Documentary, Comedy, Music",57 min
The Dunera Boys,6.2,"Drama, War",200 min
She Spent So Many Hours Under the Sun Lamps,6.9,"Drama, Fantasy",130 min
La esclava blanca,4.9,"Horror, Thriller",87 min
The Illegal Immigrant,7.1,"Drama, Romance",98 min
Flesh and Bullets,4.1,Crime,84 min
Fright Night,7.1,Horror,106 min
Gidget's Summer Reunion,6.2,"Comedy, Drama",93 min
Grenzenloses Himmelblau,5.4,Comedy,110 min
Hammer,2.7,Drama,92 min
Hitchcock: il brividio del genio,7.4,N/A,120 min
Hot Moves,4.7,Comedy,85 min
Illustrerat samtal med professor Lars Kristiansson,N/A,Documentary,123 min
Inughuit - folket vid jordens navel,7.8,Documentary,87 min
Joan Lui - Ma un giorno nel paese arrivo io di lunedì,4.7,"Comedy, Drama, Musical",163 min
Kaminsky - Ein Bulle dreht durch,6.4,Thriller,86 min
Kloppun Kunfes,N/A,N/A,N/A
Labirynt,6.3,Horror,74 min
Leng xie tu fu,3.8,"Horror, Thriller",N/A
Ljubavna pisma s predumisljajem,7.4,Drama,95 min
El lío de papá,N/A,Comedy,N/A
Marriage of the Century,4.6,Comedy,100 min
Mera Jawab,5.5,Action,N/A
Moi vouloir toi,4.1,"Comedy, Drama, Romance",90 min
Unknown,N/A,N/A,N/A
Nadzór,7.2,Drama,118 min
Nickel Mountain,6.0,Drama,88 min
Not My Kid,5.8,Drama,100 min
Once Bitten,5.6,"Comedy, Horror",94 min
Holly - The Movie,6.4,"Comedy, Drama, Romance",85 min
Past Caring,8.3,Drama,77 min
Pismak,6.4,Drama,120 min
El primer torero porno,2.8,Comedy,91 min
På gränsen,N/A,Documentary,95 min
Re-Animator,7.2,"Comedy, Horror, Sci-Fi",84 min
Return to Oz,6.7,"Adventure, Family, Fantasy",113 min
Rosso,6.5,"Drama, Crime",76 min
Vagabond,7.6,Drama,105 min
Segreti segreti,6.6,Drama,92 min
It's a Drink! It's a Bomb!,6.4,"Comedy, Crime",95 min
The Slugger's Wife,4.4,"Comedy, Music, Romance",105 min
Stand-Up Reagan,5.4,Short,40 min
Sudden Death,4.8,"Action, Thriller",90 min
Takin' It Off,5.1,Comedy,90 min
Terminal Choice,5.3,"Horror, Thriller",97 min
Tiempo de morir,6.8,Drama,98 min
Treasure of the Amazon,4.6,"Action, Adventure, Drama",97 min
Társasutazás,6.8,"Documentary, Drama",75 min
Vertiges,5.8,"Drama, Musical",108 min
Vsak su vinar,N/A,N/A,N/A
Westler,6.6,Drama,94 min
Wizards of the Lost Kingdom,2.9,"Action, Adventure, Family",72 min
Zastihla me noc,6.9,"Biography, Drama, War",135 min
All Is Forgiven,7.9,Comedy,30 min
Dear John....,7.6,Comedy,45 min
The Haunted School,7.4,N/A,30 min
A Little Princess,8.4,"Drama, Family",163 min
Peter the Great,7.8,"Biography, Drama, History",371 min
Siskel & Ebert,8.6,Talk-Show,30 min
You Write the Songs,N/A,"Game-Show, Music",30 min
Abducted,5.0,"Drama, Thriller",90 min
All My Sons,7.5,"Comedy, Drama, Romance",N/A
El amor brujo,7.0,"Music, Drama",100 min
Halfaouine: Boy of the Terraces,6.7,"Drama, Comedy",98 min
Bad Company,6.8,Drama,92 min
Beskyddarna,5.6,"Crime, Thriller",95 min
Black Mic Mac,5.3,Comedy,93 min
"Body, Body, Blues",N/A,N/A,N/A
Calé,6.0,Drama,86 min
Le caviar rouge,4.1,Drama,92 min
The Octopuses from the Second Floor,6.9,"Comedy, Family, Sci-Fi",92 min
Cocaine Wars,4.3,"Action, Drama",82 min
Crossroads,7.1,"Drama, Music, Mystery",99 min
A Deadly Business,5.9,Drama,96 min
Wild Wind,4.3,"Drama, War",91 min
Down and Out in Beverly Hills,6.2,Comedy,103 min
Echo Park,5.8,"Comedy, Drama",88 min
Blessings of the Earth,8.0,Drama,N/A
A fantasztikus nagynéni,7.5,"Adventure, Comedy, Family",N/A
For Love Alone,5.3,"History, Romance",102 min
Fuegos,4.0,Drama,95 min
Glód,N/A,N/A,50 min
Grandeur et décadence d'un petit commerce de cinéma,6.3,"Crime, Thriller",52 min
Happy Hour,3.8,Comedy,88 min
Hell High,5.1,"Crime, Horror, Thriller",84 min
House,6.1,"Comedy, Fantasy, Horror",93 min
I Own the Racecourse,4.5,Drama,90 min
Inside Out,6.2,"Drama, Romance",87 min
Jing zei xiong di,5.9,Action,N/A
Echoes in the Wilderness,N/A,"Documentary, Short",N/A
Kiri Kara Watita,N/A,N/A,80 min
Labyrinth,7.3,"Adventure, Family, Fantasy",101 min
Ein Leben für die Herrschaft - Vom Glück und Elend der dienstbaren Geister,N/A,Documentary,44 min
Zátah,5.2,Crime,83 min
Abracadabra,5.7,"Comedy, Horror",86 min
Mammame,7.1,"Fantasy, Music",65 min
Merry Go Round,N/A,N/A,N/A
Dream Lovers,6.2,"Drama, Fantasy, Romance",95 min
Modern Girls,5.7,"Comedy, Drama, Romance",84 min
The Mosquito Coast,6.6,"Adventure, Drama, Thriller",117 min
Mystery Mansion,4.4,"Adventure, Mystery",95 min
Nanou,5.9,"Drama, Romance",110 min
Ren zhe da,5.8,"Action, Crime",90 min
Nyamanton,6.9,Drama,90 min
One Night Only,4.5,Comedy,87 min
Otto Klemperer's Long Journey Through His Times,8.6,Documentary,98 min
Pascal - Gödel,6.5,Short,5 min
The Phantom Empire,3.8,"Adventure, Comedy, Fantasy",83 min
Polvos bélicos,N/A,Adult,N/A
Puteshestviye gospodina Perrishona,5.9,"Comedy, Musical",75 min
Red Grooms: Sunflower in a Hothouse,7.9,"Documentary, Short, Biography",21 min
#DUPE#,N/A,N/A,N/A
Ryder P.I.,4.5,Comedy,92 min
Der Schnee vom vergangenen Jahr,5.3,Crime,88 min
100 Ways to Murder Your Wife,5.8,"Comedy, Romance",92 min
Sincerely Charlotte,5.6,Drama,88 min
Something in Common,5.9,"Drama, Romance",102 min
Stockholmsnatt,4.4,"Crime, Drama",50 min
The Swords of Wayland,8.4,"Action, Drama, Fantasy",102 min
Tod auf Eis,N/A,"Crime, Drama, Mystery",83 min
Three Amigos!,6.5,"Comedy, Western",104 min
Trapped in Silence,6.8,Drama,94 min
Un tour de manège,6.2,"Crime, Drama, Romance",80 min
The Venetian Woman,4.9,"Drama, Romance",83 min
Scandalous Emanuelle,4.0,Drama,91 min
The Whistle Blower,6.2,"Drama, Thriller",100 min
Witchfire,4.4,"Comedy, Thriller",100 min
Evil Cat,5.6,"Action, Comedy, Horror",91 min
"Yuri Nosenko, KGB",6.5,Drama,89 min
Zombie Brigade,2.7,"Drama, Fantasy, Horror",92 min
Beverly Hills Buntz,6.5,"Comedy, Crime, Drama",30 min
Dolly,7.3,"Comedy, Music",60 min
Hard Copy,4.1,Drama,60 min
Kurt Olssons television,6.2,Comedy,N/A
Nothing in Common,5.8,Comedy,30 min
The Refuge,N/A,Comedy,N/A
Three Up Two Down,6.3,Comedy,30 min
A Year in the Life,8.5,Drama,60 min
Abatjour 1,3.9,Drama,86 min
Alien Predator,3.8,"Drama, Horror, Sci-Fi",90 min
Ampir,6.5,"Short, Drama, Thriller",32 min
Arabella: Black Angel,5.3,"Drama, Mystery, Romance",89 min
Broken April,7.1,Drama,100 min
Bates Motel,3.8,"Comedy, Drama, Horror",90 min
Beyond Therapy,4.8,Comedy,93 min
Blood Frenzy,4.5,Horror,90 min
Born of Fire,6.1,"Drama, Fantasy, Horror",84 min
Camp de Thiaroye,7.7,"Drama, War",157 min
Chaos im Gotthard,5.8,N/A,76 min
Club de rencontres,5.2,Comedy,102 min
Counterforce,4.3,"Action, Drama",98 min
#DUPE#,N/A,N/A,N/A
The Dante Quartet,6.8,"Animation, Short",6 min
Deadly Illusion,4.8,"Adventure, Crime, Mystery",87 min
Rest in Pieces,4.7,Horror,88 min
Disorderlies,5.0,Comedy,86 min
Dot and the Smugglers,6.5,"Animation, Family",75 min
#DUPE#,N/A,N/A,N/A
Emmanuelle 5,3.2,"Action, Drama",85 min
Even Great Man,N/A,N/A,N/A
Fatal Attraction,6.9,"Drama, Thriller",119 min
Flying Finn,N/A,N/A,N/A
Le funiculaire des anges,N/A,"Crime, Thriller",87 min
Ghost Fever,3.4,"Comedy, Horror",86 min
La gran comedia,6.7,Comedy,85 min
Halodhia Choraye Baodhan Khai,8.5,Drama,120 min
Heart,5.2,Drama,90 min
The Hero's Journey: The World of Joseph Campbell,8.2,"Documentary, Biography",58 min
Wings of Honneamise,7.2,"Animation, Drama, Sci-Fi",121 min
Huan le long hu bang,6.8,"Action, Comedy",81 min
In Extremis,5.2,"Crime, Drama, Romance",90 min
Io e mia sorella,6.1,Comedy,110 min
Jaune revolver,5.0,Crime,90 min
Jungle Rats,5.5,"Action, War",93 min
Behind Enemy Lines,4.7,"Action, Drama, War",88 min
Kreytserova sonata,7.4,"Drama, Romance",158 min
The Last Innocent Man,6.3,Thriller,109 min
Light of Day,5.6,"Drama, Music",107 min
The Lost Boys,7.2,"Comedy, Horror",97 min
#DUPE#,N/A,N/A,N/A
Malom a pokolban,7.9,Drama,110 min
The Billionaire,N/A,"Crime, Drama, Mystery",120 min
Miami Golem,3.7,"Action, Horror, Sci-Fi",85 min
The Moneymen,N/A,N/A,N/A
Mutant Hunt,3.7,"Action, Sci-Fi",75 min
New York's Finest,5.2,Comedy,86 min
No Dead Heroes,3.5,Action,86 min
Nuts,6.6,"Drama, Thriller",116 min
Orn,N/A,N/A,N/A
Far Passion,7.0,Thriller,98 min
Phoenix the Warrior,3.7,"Action, Sci-Fi",89 min
Police Story: The Freeway Killings,6.2,"Crime, Drama",143 min
The Princess Bride,8.0,"Adventure, Comedy, Family",98 min
Quartermaine's Terms,8.5,Drama,N/A
Raz na raz ne prikhoditsya,6.5,"Comedy, Crime",77 min
Return to Horror High,4.3,"Comedy, Horror",95 min
Roman Holiday,5.0,"Comedy, Drama, Romance",100 min
Russkies,5.5,Drama,99 min
Schlachtzeichen,6.9,N/A,54 min
#DUPE#,N/A,N/A,N/A
#DUPE#,N/A,N/A,N/A
Smierc Johna L.,6.0,Drama,104 min
Ssuda na brak,4.4,Comedy,69 min
Strana la vita,7.2,Drama,99 min
The Sun and the Moon,7.1,Drama,97 min
Sécurité publique,2.0,Crime,98 min
Wunschlos tot,6.8,Crime,90 min
Three O'Clock High,7.1,Comedy,101 min
Shuto shôshitsu,5.4,"Mystery, Sci-Fi",120 min
La tricheuse,7.6,Drama,N/A
Uncle Tom's Cabin,6.2,Drama,110 min
Uuno Turhapuro kaksoisagentti,5.4,Comedy,96 min
Vi ska tvivla,N/A,Documentary,69 min
Waiting for the Moon,6.3,Drama,88 min
Werewolf,7.8,"Horror, Thriller",90 min
Withnail & I,7.5,"Comedy, Drama",107 min
Diary of King Yonsan,5.5,N/A,118 min
Final Victory,6.6,"Crime, Drama, Romance",98 min
In fiecare zi mi-e dor de tine,6.7,Musical,90 min
China Beach,8.2,"Drama, History, War",120 min
Family Feud,6.6,Game-Show,60 min
Imogène,7.1,N/A,N/A
Mama's Boy,7.5,N/A,N/A
Ramona,7.9,"Drama, Family",30 min
Superboy,6.2,"Action, Adventure, Family",30 min
Wyatt's Watchdogs,5.0,Comedy,29 min
The Accused,7.1,"Crime, Drama",111 min
Alien Nation,6.3,"Action, Sci-Fi",91 min
Andy Colby's Incredible Adventure,3.5,"Adventure, Fantasy, Sci-Fi",75 min
Arthur 2: On the Rocks,4.7,"Comedy, Romance",113 min
Bachi da seta,N/A,Drama,93 min
Bees Saal Baad,5.2,"Horror, Mystery",141 min
The Big Knife,5.4,"Comedy, Drama",N/A
The Bloody Monks,5.0,"Fantasy, Horror, Thriller",75 min
The Bourne Identity,6.8,"Action, Adventure, Drama",185 min
Bum Rap,7.8,"Comedy, Drama",117 min
The Carrier,5.7,"Drama, Horror, Thriller",99 min
The Child Saver,7.0,Drama,105 min
Blood Money,4.9,"Action, Crime, Thriller",110 min
Cool Blue,4.6,"Comedy, Romance, Thriller",93 min
The Diary of a Big Man,6.7,"Comedy, Romance",86 min
Dead Ringers,7.2,"Drama, Horror, Thriller",116 min
"Dekalog, siedem",7.8,Drama,57 min
Die Hard,8.2,"Action, Thriller",132 min
Divided We Stand,5.5,Drama,60 min
Drawing Lesson #2,6.5,"Animation, Comedy, Short",6 min
Einstweilen wird es Mittag oder Die Arbeitslosen von Marienthal,6.2,N/A,95 min
Die erste Reihe,N/A,"Drama, History",110 min
Familienschande,7.5,"Crime, Drama",135 min
Filou,5.1,Drama,91 min
A Friendship in Vienna,6.7,"Drama, History",100 min
Georgette Meunier,5.3,"Crime, Drama",80 min
Goddess of Love,3.1,"Comedy, Fantasy",100 min
Greshnik,6.3,Comedy,83 min
Hard Rock Nightmare,4.6,Horror,87 min
High Spirits,5.7,"Comedy, Fantasy",99 min
Hot to Trot,4.4,"Comedy, Fantasy",83 min
Ich melde einen Selbstmord,N/A,"Crime, Drama",92 min
Internal Affairs,6.5,"Crime, Drama, Thriller",200 min
Keep on Dancing,5.2,Comedy,89 min
Jungfruresan,3.0,Drama,106 min
Kikuchi Eri: kyonyû-zeme,N/A,Drama,68 min
The End of the World,7.0,Drama,57 min
Last Platoon,4.3,"Action, War",80 min
Let's Get Lost,7.8,"Documentary, Biography, Music",120 min
Loco veneno,5.9,Comedy,95 min
Mad About You,5.8,Comedy,92 min
Marattam,8.8,N/A,90 min
Meine Seele ist eine leidenschaftliche Tänzerin - Bettina von Arnim,N/A,Biography,N/A
Before the Bat's Flight Is Done,7.1,"Drama, Thriller",91 min
Moonwalker,6.1,"Action, Crime, Fantasy",93 min
Murder One,5.4,"Biography, Crime, Drama",82 min
Nadie nada nunca,N/A,N/A,90 min
A New Life,5.8,Comedy,104 min
No Crying He Makes,6.1,"Crime, Drama, Mystery",1 h 15 min
Nypan - biografprojektionisten,N/A,N/A,N/A
The Eye Above the Well,7.5,Documentary,94 min
Paganini Horror,4.3,"Horror, Music",82 min
Obsession: A Taste for Fear,4.8,"Horror, Mystery, Sci-Fi",89 min
Perry Mason: The Case of the Lady in the Lake,6.8,"Crime, Drama, Mystery",95 min
El poder de la venganza,4.5,Action,N/A
Primiti Too Taa,7.6,"Documentary, Animation, Short",6 min
Il caso Pupetta Maresca,N/A,Documentary,60 min
The Raggedy Rawney,6.3,"Drama, Romance, War",103 min
Széchenyi napjai,N/A,N/A,N/A
